1.txt,has been widely used to,the bounded confidence model has been widely used to formally study groups of agents who are sharing opinions with those in their epistemic neighborhood,O O O O B I I I I O O O O O O O O O O O O O O O,DT VBN NN NN VBZ VBN RB VBN TO RB VB NNS IN NNS WP VBP VBG NNS IN DT IN PRP$ JJ NN
2.txt,with an eye toward,we revisit the model with an eye toward studying disinformation campaigns which have been much in the news of late,O O O O B I I I O O O O O O O O O O O O,PRP VBP DT NN IN DT NN IN VBG NN NNS WDT VBP VBN RB IN DT NN IN RB
3.txt,to that end,to that end we introduce typed agents into the model specifically agents who can be irresponsible in different ways most notably by being deceitful but also by being reluctant to try and obtain information from the world directly,B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,TO DT NN PRP VBP VBN NNS IN DT NN RB NNS WP MD VB JJ IN JJ NNS RBS RB IN VBG JJ CC RB IN VBG JJ TO VB CC VB NN IN DT NN RB
4.txt,add to,we further add a mechanism of confidence dynamics to the model which among other things allows agents to adapt the closeness threshold for counting others as being their epistemic neighbors,O O B O O O O O I O O O O O O O O O O O O O O O O O O O O O,PRP RB VBP DT NN IN NN NNS TO DT NN WDT IN JJ NNS VBZ NNS TO VB DT NN NN IN VBG NNS IN VBG PRP$ JJ NNS
5.txt,this will be used to,this will be used to study the effectiveness of possible defense mechanisms against disinformation efforts,B I I I I O O O O O O O O O O,DT MD VB VBN TO VB DT NN IN JJ NN NNS IN NN NNS
7.txt,there is much recent work on,there is much recent work on how best to organize communities of interacting agents if such communities are to achieve some fixed goal,B I I I I I O O O O O O O O O O O O O O O O O,EX VBZ RB JJ NN IN WRB JJS TO VB NNS IN VBG NNS IN JJ NNS VBP TO VB DT JJ NN
8.txt,for instance researchers have looked into,for instance researchers have looked into whether putting in place certain types of communication structures enables us to improve the efficacy of our beliefforming practices,B I I I I I O O O O O O O O O O O O O O O O O O O,IN NN NNS VBP VBN IN IN VBG IN NN JJ NNS IN NN NNS VBZ PRP TO VB DT NN IN PRP$ VBG NNS
9.txt,consist of,most of this work assumes communities to consist of strictly benevolent agents all of whom are willing to contribute to the common goal,O O O O O O O B I O O O O O O O O O O O O O O,JJS IN DT NN VBZ NNS TO VB IN RB JJ NNS DT IN WP VBP JJ TO VB TO DT JJ NN
11.txt,our main focus will be on,our main focus will be on whether certain kinds of communication structures certain sets of rules for determining who to talk and listen to and for how to take their opinions into account offer better protection against such campaigns than others,B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,PRP$ JJ NN MD VB IN IN JJ NNS IN NN NNS JJ NNS IN NNS IN VBG WP TO VB CC VB TO CC IN WRB TO VB PRP$ NNS IN NN NN JJR NN IN JJ NNS IN NNS
12.txt,the importance of,we trust that the importance of our research topic needs little stressing,O O O B I I O O O O O O,PRP VBP IN DT NN IN PRP$ NN NN VBZ RB VBG
14.txt,it is generally recognized,at least since the campaigns preceding the vote on brexit and the 2016 presidential election in the united states it is generally recognized how dangerous this trend is jeopardizing the foundations of western democracies and possibly even the future of our planet as a habitable place,O O O O O O O O O O O O O O O O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O O,IN JJS IN DT NNS VBG DT NN IN NN CC DT CD JJ NN IN DT JJ NNS PRP VBZ RB VBN WRB JJ DT NN VBZ VBG DT NNS IN JJ NNS CC RB RB DT NN IN PRP$ NN IN DT JJ NN
17.txt,come from,these publications have come from academic researchers but also from think tanks and governmental and nongovernmental bodies,O O O B I O O O O O O O O O O O O,DT NNS VBP VBN IN JJ NNS CC RB IN NN NNS CC JJ CC JJ NNS
19.txt,led to,much of this research has led to valuable new insights and many of the suggested fixes are causes worth fighting for,O O O O O B I O O O O O O O O O O O O O O,RB IN DT NN VBZ VBN TO JJ JJ NNS CC JJ IN DT JJ NNS VBP VBZ JJ VBG IN
21.txt,aims to address these and related questions,this paper aims to address these and related questions with the help of agent based computational models,O O B I I I I I I O O O O O O O O,DT NN VBZ TO VB DT CC JJ NNS IN DT NN IN NN VBN JJ NNS
22.txt,on the basis of,more specifically our methodological starting point is the so called bounded confidence model if not introspectively clear there is undeniable evidence that we do form our opinions on the basis of both the opinions of others and the results of our probing the world directly,O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I O O O O O O O O O O O O O O,RBR RB PRP$ JJ NN NN VBZ DT RB VBN VBD NN NN IN RB RB JJ EX VBZ JJ NN IN PRP VBP VB PRP$ NNS IN DT NN IN CC DT NNS IN NNS CC DT NNS IN PRP$ VBG DT NN RB
25.txt,aims to take some first steps toward,this paper aims to take some first steps toward mending that situation by proposing two extensions to the model,O O B I I I I I I O O O O O O O O O O,DT NN VBZ TO VB DT JJ NNS IN VBG DT NN IN VBG CD NNS TO DT NN
26.txt,we extend the model by introducing,specifically we extend the model by introducing taken to be the same for all agents in a community,O B I I I I I O O O O O O O O O O O,RB PRP VBP DT NN IN VBG VBN TO VB DT JJ IN DT NNS IN DT NN
29.txt,are aiming at,what we are aiming at instead is to achieve a deeper understanding of why these problems have proven so recalcitrant and to get at least some sense of the direction or directions in which progress may lie,O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,WP PRP VBP VBG IN RB VBZ TO VB DT JJR NN IN WRB DT NNS VBP VBN RB JJ CC TO VB IN JJS DT NN IN DT NN CC NNS IN WDT NN MD VB
30.txt,in its original form,we start in section 2 1 by summarizing the bc model in its original form and by highlighting some important limitations,O O O O O O O O O O O B I I I O O O O O O,PRP VBP IN NN CD CD IN VBG DT NN NN IN PRP$ JJ NN CC IN VBG DT JJ NNS
32.txt,the concept of,section 4 adds the second extension introducing the concept of confidence dynamics,O O O O O O O B I I O O,NN CD VBZ DT JJ NN VBG DT NN IN NN NNS
33.txt,can be used to address questions concerning,in both sections we also show how the new machinery can be used to address questions concerning the degrees to which evildoers are able to exploit different settings of the parameters of the model,O O O O O O O O O O B I I I I I I O O O O O O O O O O O O O O O O O,IN DT NNS PRP RB VBP WRB DT JJ NN MD VB VBN TO VB NNS VBG DT NNS TO WDT NNS VBP JJ TO VB JJ NNS IN DT NNS IN DT NN
37.txt,are difficult or even impossible to,the broad availability of fast and powerful computers has made agent based computational modeling a popular tool for studying complex social phenomena that are difficult or even impossible to investigate analytically,O O O O O O O O O O O O O O O O O O O O O O O B I I I I I O O,DT JJ NN IN JJ CC JJ NNS VBZ VBN NN VBN JJ NN DT JJ NN IN VBG JJ JJ NNS WDT VBP JJ CC RB JJ TO VB RB
38.txt,focus on,a relatively recent branch of this program focuses on socio epistemic phenomena specifically aspects of knowledge and belief acquisition to which the interaction among agents is central,O O O O O O O B I O O O O O O O O O O O O O O O O O O,DT RB JJ NN IN DT NN VBZ IN NN JJ NNS RB NNS IN NN CC NN NN TO WDT DT NN IN NNS VBZ JJ
39.txt,for example it is nowadays regarded as,for example it is nowadays regarded as a truism that most successes of modern science could not have been achieved by researchers working in complete isolation of one another,B I I I I I I O O O O O O O O O O O O O O O O O O O O O O,IN NN PRP VBZ RB VBN IN DT NN IN JJS NNS IN JJ NN MD RB VB VBN VBN IN NNS VBG IN JJ NN IN CD DT
40.txt,the one first presented in,a widely used agent based computational model is the one first presented in krause and hegselmann and krause in which agents change their opinions by averaging over the opinions of those epistemically close to them,O O O O O O O O B I I I I O O O O O O O O O O O O O O O O O O O O O O,DT RB VBN NN VBN JJ NN VBZ DT NN RB VBN IN NN CC NN CC NN IN WDT NNS VBP PRP$ NNS IN VBG IN DT NNS IN DT RB JJ TO PRP
42.txt,at the same time,thereby the model covers in a highly idealized way the fundamental structure of our epistemic situation learning from others and at the same time learning from the world,O O O O O O O O O O O O O O O O O O O O B I I I O O O O,RB DT NN VBZ IN DT RB JJ NN DT JJ NN IN PRP$ JJ NN VBG IN NNS CC IN DT JJ NN VBG IN DT NN
43.txt,have used the model for,many publications have used the model for investigating descriptive questions,O O B I I I I O O O,JJ NNS VBP VBN DT NN IN VBG JJ NNS
44.txt,due to many open questions still lies a major focus of studies lay on,due to many open questions still lies a major focus of studies lay on the time that it takes to reach a stable final pattern,B I I I I I I I I I I I I I O O O O O O O O O O O,JJ TO JJ JJ NNS RB VBZ DT JJ NN IN NNS VBP IN DT NN IN PRP VBZ TO VB DT JJ JJ NN
45.txt,for instance,other work has recruited the model to shed light on a number of normative issues of interest mostly to philosophers for instance concerning the practice of assertion the resolution of disagreement amongst peers and efficient truth approximation,O O O O O O O O O O O O O O O O O O O O B I O O O O O O O O O O O O O O O,JJ NN VBZ VBN DT NN TO VB NN IN DT NN IN JJ NNS IN NN RB TO NNS IN NN VBG DT NN IN NN DT NN IN NN IN NNS CC JJ NN NN
47.txt,rather than,crosscombe and lawry are interested in the issue of vagueness and present a further extension of the bc model which is populated by agents whose beliefs can consist of intervals rather than point estimates,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I O O,NN CC NN VBP JJ IN DT NN IN NN CC VB DT JJ NN IN DT NN NN WDT VBZ VBN IN NNS WP$ NNS MD VB IN NNS RB IN NN NNS
49.txt,hold beliefs about,in these extensions agents hold beliefs about multiple issues at the same time rather than about a single parameter,O O O O B I I O O O O O O O O O O O O,IN DT NNS NNS VBP NNS IN JJ NNS IN DT JJ NN RB IN IN DT JJ NN
50.txt,hold many beliefs on,while these extensions are still restricted to agents having numerical beliefs on unconnected issues riegler and douven propose an extension of the bc model populated by agents who can hold many beliefs on issues that are not necessarily numerical and that can be logically interconnected,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I O O O O O O O O O O O O,IN DT NNS VBP RB JJ TO NNS VBG JJ NNS IN JJ NNS NN CC NN VBP DT NN IN DT NN NN VBN IN NNS WP MD VB JJ NNS IN NNS WDT VBP RB RB JJ CC WDT MD VB RB VBN
53.txt,in the spirit of,they let the agents in the model interact by pooling the probabilities of those within their bci where this notion is redefined in probabilistic terms but entirely in the spirit of the original model,O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I O O O,PRP VBP DT NNS IN DT NN NN IN VBG DT NNS IN DT IN PRP$ NN WRB DT NN VBZ VBN IN JJ NNS CC RB IN DT NN IN DT JJ NN
55.txt,in particular,in particular they unpack it in two different ways one a version of bayes rule the other a formalization of so called inference to the best explanation and compare their behaviors along a number of epistemically important dimensions,B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,IN JJ PRP VBP PRP IN CD JJ NNS CD DT NN IN NNS VBP DT JJ DT NN IN RB VBN NN TO DT JJS NN CC VB PRP$ NNS IN DT NN IN RB JJ NNS
56.txt,the extensions to be presented in the following,the extensions to be presented in the following could be combined with douven and wenmackers model but this is a topic for future research in the present paper we stick to treating the updating on worldly evidence as a black box as is done in bc,B I I I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,DT NNS TO VB VBN IN DT NN MD VB VBN IN NN CC NNS NN CC DT VBZ DT NN IN JJ NN IN DT JJ NN PRP VBP TO VBG DT VBG IN JJ NN IN DT JJ NN IN VBZ VBN IN NN
57.txt,it is natural to suppose that,it is natural to suppose that liars aim to have us believe whatever it is they falsely assert,B I I I I I O O O O O O O O O O O O,PRP VBZ JJ TO VB IN NNS VBP TO VB PRP VB WDT PRP VBZ PRP RB VBP
58.txt,that is not necessarily the case however,that is not necessarily the case however,B I I I I I I,DT VBZ RB RB DT NN RB
60.txt,depending on what their purpose is,depending on what their purpose is converting us to a view they falsely profess or diverting us from a view we tend to endorse they may want to follow different strategies of deceit,B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O,VBG IN WP PRP$ NN VBZ VBG PRP TO DT NN PRP RB VBP CC VBG PRP IN DT NN PRP VBP TO VB PRP MD VB TO VB JJ NNS IN NN
61.txt,have a noticeable effect on,a politician in this kind of situation if cynical enough may reason that a subtle lie on x will not succeed in creating enough doubt about climate science to have a noticeable effect on the turn out for their opponent,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B I I I I O O O O O O,DT NN IN DT NN IN NN IN JJ RB MD VB IN DT JJ NN IN NN MD RB VB IN VBG JJ NN IN NN NN TO VB DT JJ NN IN DT NN RP IN PRP$ NN
62.txt,by contrast,by contrast a blatant lie may work in that it will result in just enough doubt about the opponents view on x to curb some of the publics erstwhile enthusiasm for the candidate which in turn may be just enough to make them stay home on election day,B I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,IN NN DT JJ NN MD VB IN IN PRP MD VB IN RB JJ NN IN DT NNS VBP IN NN TO VB DT IN DT NNS VBP NN IN DT NN WDT IN NN MD VB RB RB TO VB PRP VB NN IN NN NN
63.txt,as well as,this possibility is far from academic as we have all been able to read in reports about the brexit campaign as well as the trump campaign for the 2016 presidential election,O O O O O O O O O O O O O O O O O O O O B I I O O O O O O O O,DT NN VBZ RB IN JJ IN PRP VBP DT VBN JJ TO VB IN NNS IN DT NN NN RB RB IN DT NN NN IN DT CD JJ NN
67.txt,depend on,whether a disinformation campaign is enough will depend on the situation,O O O O O O O B I O O,IN DT NN NN VBZ RB MD VB IN DT NN
68.txt,for example from the perspective of,for example from the perspective of tobacco producers all that matters may be that people do not believe that smoking is detrimental to their health,B I I I I I O O O O O O O O O O O O O O O O O O O,IN NN IN DT NN IN NN NNS DT IN NNS MD VB IN NNS VBP RB VB DT NN VBZ JJ TO PRP$ NN
70.txt,it may be enough to,similarly to win an election it may be enough to suppress voter enthusiasm among potential voters for your opponent,O O O O O B I I I I O O O O O O O O O,RB TO VB DT NN PRP MD VB JJ TO VB NN NN IN JJ NNS IN PRP$ NN
72.txt,it may be enough to,and to diminish this kind of enthusiasm it may be enough to divert the public from the truth not necessarily to make them believe whatever lies you are spreading,O O O O O O O B I I I I O O O O O O O O O O O O O O O O O,CC TO VB DT NN IN NN PRP MD VB JJ TO VB DT NN IN DT NN RB RB TO VB PRP VB WDT VBZ PRP VBP VBG
73.txt,on the other hand,on the other hand most brexiteers seem to have made a serious effort to convince their countrymen that leave was the right choice to make in the referendum,B I I I O O O O O O O O O O O O O O O O O O O O O O O O,IN DT JJ NN JJS NNS VBP TO VB VBN DT JJ NN TO VB PRP$ NNS WDT VBP VBD DT JJ NN TO VB IN DT NN
74.txt,as mentioned in the introduction,as mentioned in the introduction the question whether there is anything we can do to protect ourselves against these kinds of campaigns has been much in the limelight both in academic and non academic publications,B I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,IN VBN IN DT NN DT NN IN EX VBZ NN PRP MD VB TO VB PRP IN DT NNS IN NNS VBZ VBN RB IN DT NN CC IN JJ CC JJ JJ NNS
75.txt,it could help to,against the background of the mathematical model of communication we are considering here we may ask whether it could help to be selective in counting others as our peers,O O O O O O O O O O O O O O O O O B I I I O O O O O O O O,IN DT NN IN DT JJ NN IN NN PRP VBP VBG RB PRP MD VB IN PRP MD VB TO VB JJ IN VBG NNS IN PRP$ NNS
76.txt,more generally,more generally are there combinations of and values that minimize the likelihood for a misinformation campaign to succeed,B I O O O O O O O O O O O O O O O O,RBR RB VBP EX NNS IN CC NNS WDT VBP DT NN IN DT NN NN TO VB
79.txt,have any influence on,if you only go by the evidence you get directly from the world none of the other community members will have any influence on how you form your opinions,O O O O O O O O O O O O O O O O O O O O B I I I O O O O O,IN PRP RB VB IN DT NN PRP VBP RB IN DT NN NN IN DT JJ NN NNS MD VB DT NN IN WRB PRP VBP PRP$ NNS
81.txt,amount to,note however that this would amount to giving up on social learning entirely and that we submit is not a realistic option,O O O O O B I O O O O O O O O O O O O O O O,NN RB IN DT MD VB TO VBG RP IN JJ NN RB CC IN PRP VBP VBZ RB DT JJ NN
83.txt,it is certainly correct that,but even if not it is certainly correct that as schurz points out individual learning tends to be much more costly than social learnin,O O O O B I I I I O O O O O O O O O O O O O O O,CC RB IN RB PRP VBZ RB JJ IN IN NN VBZ RP JJ NN VBZ TO VB RB RBR JJ IN JJ NN
84.txt,it is something we ought to do,allowing ourselves to be influenced by the views of others is not just something we happen to do it is something we ought to do in addition to investigating the world ourselves rather than as a replacement for that,O O O O O O O O O O O O O O O O O O B I I I I I I O O O O O O O O O O O O O O,VBG PRP TO VB VBN IN DT NNS IN NNS VBZ RB RB NN PRP VBP TO VB PRP VBZ NN PRP MD TO VB IN NN TO VBG DT NN PRP RB IN IN DT NN IN DT
85.txt,at the same time,hence what we should be looking for is a possibility to be at the same time somewhat sensitive to the opinions of others and still relatively safe from misand disinformation campaigns,O O O O O O O O O O O O B I I I O O O O O O O O O O O O O O O,RB WP PRP MD VB VBG IN VBZ DT NN TO VB IN DT JJ NN RB JJ TO DT NNS IN NNS CC RB RB JJ IN JJ NN NNS
86.txt,it appears eminently suitable to,it appears eminently suitable to investigate the above kind of questions,B I I I I O O O O O O,PRP VBZ RB JJ TO VB DT JJ NN IN NNS
87.txt,makes no provision for,unfortunately however and as indicated already in its present form the model makes no provision for representing untruthful agents the kind of agents running mis or disinformation campaigns,O O O O O O O O O O O O B I I I O O O O O O O O O O O O,RB RB CC RB VBN RB IN PRP$ JJ NN DT NN VBZ DT NN IN VBG JJ NNS DT NN IN NNS VBG NN CC NN NNS
88.txt,it makes the model unusable as a tool for,the assumption that all agents are truthful may for many purposes be a harmless and perhaps even useful idealization but it makes the model unusable as a tool for answering questions about mis and disinformation campaigns,O O O O O O O O O O O O O O O O O O O O B I I I I I I I I O O O O O O O,DT NN IN DT NNS VBP JJ MD IN JJ NNS VB DT JJ CC RB RB JJ NN CC PRP VBZ DT NN JJ IN DT NN IN VBG NNS IN NN CC NN NNS
89.txt,one reason why the bc model has gained popularity is,as we mentioned however one reason why the bc model has gained popularity is its great flexibility,O O O O B I I I I I I I I I O O O,IN PRP VBD RB CD NN WRB DT NN NN VBZ VBN NN VBZ PRP$ JJ NN
90.txt,we aim to show that,in the following we aim to show that because of this flexibility the above questions do not motivate a radical rethinking of the computational modeling of epistemically interacting agents,O O O B I I I I O O O O O O O O O O O O O O O O O O O O O,IN DT NN PRP VBP TO VB IN IN IN DT NN DT JJ NNS VBP RB VB DT NN VBG IN DT JJ NN IN RB VBG NNS
91.txt,to the contrary it is relatively easy to,to the contrary it is relatively easy to concretize or deidealize the bc model with an eye toward modeling interactions among agents not all of whom are truthful or willing to make a serious effort of informing themselves,B I I I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,TO DT NN PRP VBZ RB JJ TO VB CC VB DT NN NN IN DT NN IN NN NNS IN NNS RB DT IN WP VBP JJ CC JJ TO VB DT JJ NN IN VBG PRP
92.txt,take a first step toward,in the next section we take a first step toward this concretization by extending the bc model to one that covers communities with non truthful agents,O O O O O B I I I I O O O O O O O O O O O O O O O O,IN DT JJ NN PRP VBP DT JJ NN IN DT NN IN VBG DT NN NN TO CD WDT VBZ NNS IN JJ JJ NNS
93.txt,address another limitation of,in section 4 we address another limitation of the bc model to wit that it treats the level of open mindedness in the sense of willingness to take others opinions into account as being fixed instead of being itself open to change,O O O O B I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,IN NN CD PRP VBP DT NN IN DT NN NN TO NN IN PRP VBZ DT NN IN JJ NN IN DT NN IN NN TO VB NNS NNS IN NN IN VBG VBN RB IN VBG PRP JJ TO VB
95.txt,in the extension to the bc model to be introduced in this section,in the extension to the bc model to be introduced in this section agents are typed according to how epistemically responsible they are,B I I I I I I I I I I I I O O O O O O O O O O,IN DT NN TO DT NN NN TO VB VBN IN DT NN NNS VBP VBN VBG TO WRB RB JJ PRP VBP
96.txt,the effects of,we look at the effects of irresponsible agents on the truth seeking endeavors of the responsible agents where the latter are the agents that already populated the original bc model,O O O B I I O O O O O O O O O O O O O O O O O O O O O O O O,PRP VBP IN DT NNS IN JJ NNS IN DT NN VBG NNS IN DT JJ NNS WRB DT JJ VBP DT NNS WDT RB VBD DT JJ NN NN
98.txt,in a first step,in a first step we introduce only one new type of agents to be calledcampaigners,B I I I O O O O O O O O O O O,IN DT JJ NN PRP VBP RB CD JJ NN IN NNS TO VB NNS
100.txt,in fact in a clear sense,in fact in a clear sense they do not update at all but rather stick to a fixed opinion 0 1] about the value of,B I I I I I O O O O O O O O O O O O O O O O O O O,IN NN IN DT JJ NN PRP VBP RB VB IN DT CC RB NN TO DT JJ NN CD CD IN DT NN IN
101.txt,it will hold that,in all situations to be considered it will hold that though important questions will concern how far removed is from,O O O O O O B I I I O O O O O O O O O O,IN DT NNS TO VB VBN PRP MD VB IN IN JJ NNS MD VB WRB RB VBN VBZ IN
102.txt,is characterized by,formally then the extension to be studied first is characterized by the following bounded confidence with campaigners are as defined previously,O O O O O O O O B I I O O O O O O O O O O,RB RB DT NN TO VB VBN RB VBZ VBN IN DT NN VBD NN IN NNS VBP IN VBN RB
103.txt,as a further extension,as a further extension we also want to introduce a type of agent unwilling to gather or even listen to worldly evidence but only updating by averaging the opinions of those within her bci,B I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,IN DT JJ NN PRP RB VBP TO VB DT NN IN NN JJ TO VB CC RB VB TO JJ NN CC RB VBG IN VBG DT NNS IN DT IN PRP$ NN
104.txt,refer to,we refer to such agents as free riders,O B I O O O O O,PRP VBP TO JJ NNS IN JJ NNS
106.txt,make a serious effort to,but their unwillingness to make a serious effort to inform themselves other than by listening to their epistemic neighbors may nonetheless make them complicit in mis or disinformation efforts,O O O O B I I I I O O O O O O O O O O O O O O O O O O O O,CC PRP$ NN TO VB DT JJ NN TO VB PRP JJ IN IN VBG TO PRP$ JJ NNS MD RB VB PRP NN IN NN CC NN NNS
109.txt,there is nothing to know about,needless to say our focus will be only on the truth seekers and when present the free riders as for the campaigners there is nothing to know about them that we do not know already from their definition they simply stick to their fixed opinion under all circumstances no matter how many updates we consider,O O O O O O O O O O O O O O O O O O O O O O B I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O,JJ TO VB PRP$ NN MD VB RB IN DT NN NNS CC WRB JJ DT JJ NNS IN IN DT NNS EX VBZ NN TO VB IN PRP IN PRP VBP RB VB RB IN PRP$ NN PRP RB VBP TO PRP$ JJ NN IN DT NNS DT NN WRB JJ NNS PRP VBP
110.txt,be looked at,the first questions now to be looked at are how much damage to a society the presence of campaigners can do,O O O O O B I I O O O O O O O O O O O O O,DT JJ NNS RB TO VB VBN IN VBP WRB JJ NN TO DT NN DT NN IN NNS MD VB
112.txt,have any influence on,thus whatever the value of may be does not have any influence on the dynamics,O O O O O O O O O B I I I O O,RB WDT DT NN IN MD VB VBZ RB VB DT NN IN DT NNS
113.txt,look at,here and elsewhere the communities we look at will always include 50 truth seekers unless indicated otherwise,O O O O O O B I O O O O O O O O O,RB CC RB DT NNS PRP VBP IN MD RB VB CD NN NNS IN VBN RB
115.txt,it is clearly seen that,it is clearly seen that how many others get converted on average depends on the number of campaigners present in the community and on how liberal the others are in counting others as their peers,B I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,PRP VBZ RB VBN IN WRB JJ NNS VBP VBN IN NN VBZ IN DT NN IN NNS JJ IN DT NN CC IN WRB JJ DT NNS VBP IN VBG NNS IN PRP$ NNS
119.txt,it is due to the fact that,it is due to the fact that the more campaigners there are the greater the pull their opinion exerts on the truth seekers in their vicinity and the greater the chance there will occur an early split among the truth seekers,B I I I I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,PRP VBZ JJ TO DT NN IN DT JJR NNS EX VBP DT JJR DT NN PRP$ NN VBZ IN DT NN NNS IN PRP$ NN CC DT JJR DT NN RB MD VB DT JJ NN IN DT NN NNS
120.txt,it is easier for,with fewer campaigners truth seekers in their vicinity are also pulled in their direction but not as strongly it is easier for other truth seekers to catch on,O O O O O O O O O O O O O O O O O O B I I I O O O O O O,IN JJR NNS NN NNS IN PRP$ NN VBP RB VBN IN PRP$ NN CC RB RB RB PRP VBZ JJR IN JJ NN NNS TO VB IN
122.txt,by contrast,by contrast if an early split occurs some truth seekers may forever remain out of the reach of the campaigners,B I O O O O O O O O O O O O O O O O O O,IN NN IN DT JJ NN VBZ DT NN NNS MD RB VB IN IN DT NN IN DT NNS
124.txt,base on,now let us have a look at the more interesting kind of case in which is not equal to 0 and so the truth seekers also base their updates on evidence coming from the world,O O O O O O O O O O O O O O O O O O O O O O O O O O B O O I O O O O O,RB VB PRP VB DT NN IN DT RBR JJ NN IN NN IN WDT VBZ RB JJ TO CD CC RB DT NN NNS RB VBP PRP$ NNS IN NN VBG IN DT NN
126.txt,depend on,the foregoing result indicates that this may depend on what that opinion is and also on how many campaigners there are in the community,O O O O O O O B I O O O O O O O O O O O O O O O,DT JJ NN VBZ IN DT MD VB IN WP DT NN VBZ CC RB IN WRB JJ NNS EX VBP IN DT NN
131.txt,most importantly it depends on,the rate at which truth seekers have been effectively disinformed in the fixed point depends on bothand the number of campaigners but most importantly it depends on how far from the truth the campaigners opinion is,O O O O O O O O O O O O O O O O O O O O O O B I I I I O O O O O O O O O,DT NN IN WDT NN NNS VBP VBN RB VBN IN DT JJ NN VBZ IN NN DT NN IN NNS CC RBS RB PRP VBZ IN WRB RB IN DT NN DT NNS NN VBZ
132.txt,from the perspective of,we see that from the perspective of the campaigners supposing their goal is disinformation it pays to be subtle,O O O B I I I O O O O O O O O O O O O,PRP VBP IN IN DT NN IN DT NNS VBG PRP$ NN VBZ NN PRP VBZ TO VB JJ
134.txt,there is not much of interest to be shown,we are not showing any figures related to the first question simply because there is not much of interest to be shown for the aforementioned parameter settings none of the truth seekers get converted to the campaigners opinion,O O O O O O O O O O O O O B I I I I I I I I O O O O O O O O O O O O O O O O,PRP VBP RB VBG DT NNS VBN TO DT JJ NN RB IN EX VBZ RB JJ IN NN TO VB VBN IN DT JJ NN NNS NN IN DT NN NNS VBP VBN TO DT NNS NN
135.txt,it is in fact that,it is in fact only when the campaigners get very subtle for instance by holding an opinion of 0 11 and when we lower quite a bit like to 0 05 that conversion starts to occur this may still only occur if the number of campaigners present in the community is near its maximum,B I I I O O O O O O O O O O O O O O O O O O O O O O O O O O O I O O O O O O O O O O O O O O O O O O O O O O,PRP VBZ IN NN RB WRB DT NNS VBP RB JJ IN NN IN VBG DT NN IN CD CD CC WRB PRP VBP RB DT NN IN TO CD CD DT NN VBZ TO VB DT MD RB RB VBP IN DT NN IN NNS JJ IN DT NN VBZ IN PRP$ NN
137.txt,consist of,so far we have only considered communities that consisted of truth seekers and campaigners,O O O O O O O O B I O O O O,RB RB PRP VBP RB VBN NNS WDT VBD IN NN NNS CC NNS
