1.txt,The bounded confidence model has been widely used to formally study groups of agents who are  sharing opinions with those in their epistemic neighborhood.,has been widely used to
2.txt,"We revisit the model with an eye  toward studying disinformation campaigns, which have been much in the news of late.",with an eye  toward
3.txt,"To that end, we introduce typed agents into the model, specifically agents who can be irresponsible  in different ways, most notably, by being deceitful, but also by being reluctant to try and obtain  information from the world directly.",To that end
4.txt,"We further add a mechanism of confidence dynamics to the  model, which among other things allows agents to adapt the closeness threshold for counting  others as being their epistemic neighbors.",add to
5.txt,This will be used to study the effectiveness of possible  defense mechanisms against disinformation efforts.,This will be used to
7.txt,There is much recent work on how best to organize communities of interacting agents if such communities  are to achieve some fixed goal.,There is much recent work on
8.txt,"For instance, researchers have looked into whether putting  in place certain types of communication structures enables us to improve the efficacy of our beliefforming  practices.","For instance,researchers have looked into"
9.txt,"Most of this work assumes  communities to consist of strictly benevolent agents, all of whom are willing to contribute to the  common goal.",consist of
11.txt,"Our main focus will be on whether certain kinds of communication structures certain sets of rules for  determining who to talk and listen to, and for how to take their opinions into account offer better  protection against such campaigns than others.",Our main focus will be on
12.txt,We trust that the importance of our research topic needs little stressing.,the importance of
13.txt,"Mis- and disinformation  campaigns, for financial or political gains, and sometimes for reasons we are still grappling to  understand, are the order of the day.",null
14.txt,"At least since the campaigns preceding the vote on Brexit and the 2016 presidential election in the United States, it is generally recognized how dangerous this trend is,jeopardizing the foundations of Western democracies and possibly even the future of our planet as a  habitable place.",it is generally recognized
17.txt,"These publications have come from academic researchers,but also from think tanks, and governmental and nongovernmental bodies.",come from
19.txt,"Much of this research has led to valuable new insights, and many of the suggested fixes are causes  worth fighting for.",led to
21.txt,This paper aims to address these and related questions with the help of agent-based computational  models.,aims to address these and related questions
22.txt,"More specifically, our methodological starting point is the  so-called bounded confidence model ; if not introspectively clear, there is undeniable evidence that  we do form our opinions on the basis of both the opinions of others and the results of our probing  the world directly.",on the basis of
23.txt,"In its extant form, however, the BC model assumes all agents to act responsibly in that they do not  hide their opinions from others in the group, let alone lie about their real opinions to mislead those  others, and that they are open to the information that comes in from the world.",null
25.txt,This paper aims to take some first steps toward mending that situation by proposing two extensions  to the model.,aims to take some first steps toward
26.txt,"Specifically, we extend the model by introducing  taken to be the same for all  agents in a community.",we extend the model by introducing
28.txt,"No one should expect a formal analysis of communication structures, on its own, to suggest an  easy fix of the problems that mis- and disinformation campaigns are causing.",null
29.txt,"What we are aiming at  instead is to achieve a deeper understanding of why these problems have proven so recalcitrant, and to  get at least some sense of the direction or directions in which progress may lie.",aiming at
30.txt,"We start, in Section 2.1, by summarizing the BC model in its original form and by highlighting some important limitations.",in its original form
31.txt,"In Section 3, we present the first extension of the model, featuring different types of agents.",null
32.txt,"Section 4 adds the second extension, introducing the concept of confidence dynamics.",the concept of
33.txt,"In both sections, we also show how the new machinery can be used to address questions concerning  the degrees to which evildoers are able to exploit different settings of the parameters of the model.",can be used to address questions concerning
35.txt,"In this section, we review previous work on the BC model and some of its notable variants, which  collectively serve as a starting point for the present research.",null
36.txt,We also say more about the questions that  motivate our endeavor.,null
37.txt,The broad availability of fast and powerful computers has made agent-based computational modeling  a popular tool for studying complex social phenomena that are difficult or even impossible to investigate  analytically.,are difficult or even impossible to
38.txt,"A relatively recent branch of this program focuses on socio-epistemic phenomena,  specifically aspects of knowledge and belief acquisition to which the interaction among agents is central.",focus on
39.txt,"For example, it is nowadays regarded as a truism that most successes of modern science could not have  been achieved by researchers working in complete isolation of one another .","For example, it is nowadays regarded as"
40.txt,A widely used agent-based computational model is the one first presented in Krause and  Hegselmann and Krause in which agents change their opinions by averaging over the opinions of those epistemically close to them.,the one first presented in
41.txt,"In Hegselmann and Krause , the agents also receive direct evidence from the world.",null
42.txt,"Thereby the model covers in a  highly idealized way the fundamental structure of our epistemic situation: learning from others and,  at the same time, learning from the world.",at the same time
43.txt,Many publications have used the model for investigating  descriptive questions,have used the model for
44.txt,"Due to many open questions still lies, a major focus of studies lay on the time that it  takes to reach a stable final pattern.","Due to many open questions still lies, a major focus of studies lay on"
45.txt,"Other work has recruited the model to shed light on a number of normative issues of  interest mostly to philosophers, for instance, concerning the practice of assertion , the  resolution of disagreement amongst peers , and efficient truth approximation.",for instance
47.txt,Crosscombe and Lawry are interested in the issue of  vagueness and present a further extension of the BC model which is populated by agents whose beliefs  can consist of intervals rather than point estimates.,rather than
48.txt,"Somewhat more complicated extensions are to be  found in Lorenz, Jacobmeier, and Pluchino, Latora, and Rapisarda .",null
49.txt,"In  these extensions, agents hold beliefs about multiple issues at the same time rather than about a single  parameter.",hold beliefs about
50.txt,"While these extensions are still restricted to agents having numerical beliefs on unconnected  issues, Riegler and Douven propose an extension of the BC model populated by agents who can hold many beliefs on issues that are not necessarily numerical and that can be logically interconnected.",hold many beliefs on
51.txt,Douven and Wenmackers  present an extension that deviates even further from the original  BC model .,null
52.txt,"Their extension features agents whose belief states at a given time are characterized by probability functions on a set of self-consistent, mutually exclusive, and  jointly exhaustive hypotheses.",null
53.txt,"They let the agents in the model interact by pooling the probabilities  of those within their BCI, where this notion is redefined in probabilistic terms but entirely in the  spirit of the original model.",in the spirit of
54.txt,"Douven and Wenmackers use this version of the BC model to unpack  the updating on worldly evidence, which in the original BC model is a black box.",null
55.txt,"In particular, they unpack it in two different ways one a version of Bayes  rule, the other a  formalization of so-called Inference to the Best Explanation and compare their behaviors along a  number of epistemically important dimensions.",In particular
56.txt,"The extensions to  be presented in the following could be combined with Douven and Wenmackers  model, but this is a  topic for future research; in the present paper, we stick to treating the updating on worldly evidence as  a black box, as is done in BC.",The extensions to  be presented in the following
